attack_type,owasp_category,produces_scannable_artifact,requires_runtime,test_case_feasibility,notes
Prompt Injection,ASI01 Agent Goal Hijack,no,yes,low,"Requires LLM interaction to test. Prompt-based attack — no static artifact for scanners to analyze."
Tool/Service Misuse via Confused AI,ASI02 Tool Misuse,no,yes,low,"Requires AI model to be confused into misusing tools. Runtime behavioral test only."
Schema Inconsistencies,ASI04 Agentic Supply Chain Vulnerabilities,yes,no,high,"Malformed/inconsistent tool schemas are static artifacts scannable by schema validators."
Slash Command Overlap,ASI02 Tool Misuse,partially,yes,medium,"Command naming conflicts. Can detect via static config analysis but exploitation requires runtime."
Vulnerable Client,ASI04 Agentic Supply Chain Vulnerabilities,partially,partially,medium,"CVE-2025-6514 pattern. Client-side vuln may be detectable via dependency scanning."
MCP Rebinding,ASI03 Identity and Privilege Abuse,no,yes,low,"DNS rebinding attack requires network-level interaction. No static artifact."
Man-in-the-Middle,ASI07 Insecure Inter-Agent Communication,no,yes,low,"Transport-layer attack. Requires intercepting live traffic. No static artifact."
Tool Shadowing Attack,ASI01 Agent Goal Hijack,yes,partially,high,"Malicious tool description that shadows legitimate tool. Tool descriptions are scannable static artifacts."
Data Exfiltration,ASI02 Tool Misuse,partially,yes,medium,"Exfiltration channel may be visible in tool code/config but exploitation requires runtime."
Package Name Squatting (tools name),ASI04 Agentic Supply Chain Vulnerabilities,yes,no,high,"Duplicate/confusing tool names are detectable in static MCP server configs."
Indirect Prompt Injection,ASI01 Agent Goal Hijack,partially,yes,medium,"Injected instructions in resources. Resource content is scannable but exploitation requires LLM."
Package Name Squatting (server name),ASI04 Agentic Supply Chain Vulnerabilities,yes,no,high,"Duplicate/confusing server names in MCP configs are statically detectable."
Configuration Drift,ASI04 Agentic Supply Chain Vulnerabilities,yes,no,high,"Config changes over time are detectable via static config comparison/analysis."
Sandbox Escape,ASI05 Unexpected Code Execution,partially,yes,medium,"Escape payloads visible in code but exploitation requires sandbox runtime."
Tool Poisoning Attack,ASI01 Agent Goal Hijack,yes,partially,high,"Malicious tool descriptions/params are static artifacts. Core scanning target."
Vulnerable Server,ASI05 Unexpected Code Execution,yes,partially,high,"Path traversal and injection vulns in server code are statically scannable."
Rug Pull Attack,ASI04 Agentic Supply Chain Vulnerabilities,partially,yes,medium,"Server behavior change post-install. Initial config scannable but drift requires monitoring."
